Date,Stock
2012-07-13,22231.78516
2012-07-16,22150.01953
2012-07-17,22313.45898
2012-07-18,22190.94727
2012-07-19,22395.22266
2012-07-20,22476.98828
2012-07-23,22150.01953
2012-07-24,21945.74609
2012-07-25,21741.37695
2012-07-26,22150.01953
2012-07-27,22558.75781
2012-07-30,22844.79492
2012-07-31,23662.08203
2012-08-01,23662.08203
2012-08-02,23662.08203
2012-08-03,23743.8457
2012-08-06,23907.28516
2012-08-07,23948.20898
2012-08-08,24193.41406
2012-08-09,24724.6582
2012-08-10,25255.90234
2012-08-13,25010.69922
2012-08-14,25255.90234
2012-08-16,24602.05859
2012-08-17,24929.02734
2012-08-20,25337.66992
2012-08-21,25296.83398
2012-08-22,25255.90234
2012-08-23,25664.64063
2012-08-24,25542.03711
2012-08-27,25746.3125
2012-08-28,25623.71094
2012-08-29,26400.25
2012-08-30,26808.89258
2012-08-31,26931.49414
2012-09-03,26727.12891
2012-09-04,26931.49414
2012-09-05,27503.66602
2012-09-06,27503.66602
2012-09-07,27503.66602
2012-09-10,26849.73047
2012-09-11,26400.25
2012-09-12,27462.74023
2012-09-13,27789.71094
2012-09-14,28770.52344
2012-09-17,29138.33008
2012-09-18,28893.125
2012-09-19,29260.93164
2012-09-20,29015.72656
2012-09-21,28852.28711
2012-09-24,28402.7207
2012-09-25,27830.54688
2012-09-26,27667.10938
2012-09-27,27707.94336
2012-09-28,28320.95313
2012-10-02,27912.3125
2012-10-04,27421.90234
2012-10-05,27789.71094
2012-10-08,27381.06641
2012-10-09,27054.0957
2012-10-10,26808.89258
2012-10-11,26563.6875
2012-10-12,26073.28125
2012-10-15,25746.3125
2012-10-16,25828.07813
2012-10-17,26972.33398
2012-10-18,27094.93359
2012-10-19,27094.93359
2012-10-22,26645.45313
2012-10-23,26318.48633
2012-10-24,25705.47461
2012-10-25,25868.91211
2012-10-26,25501.11133
2012-10-29,25419.43359
2012-10-30,25378.50977
2012-10-31,25460.27148
2012-11-01,25174.23242
2012-11-02,25909.84375
2012-11-05,25787.24219
2012-11-06,26727.12891
2012-11-07,27054.0957
2012-11-08,26645.45313
2012-11-09,26768.05469
2012-11-12,27054.0957
2012-11-13,27094.93359
2012-11-14,26727.12891
2012-11-15,26686.29102
2012-11-16,26318.48633
2012-11-19,26277.64844
2012-11-20,26727.12891
2012-11-21,26032.44336
2012-11-22,25746.3125
2012-11-23,25746.3125
2012-11-26,25787.24219
2012-11-27,25705.47461
2012-11-28,25296.83398
2012-11-29,25746.3125
2012-11-30,26032.44336
2012-12-03,25950.67969
2012-12-04,25991.51563
2012-12-05,26032.44336
2012-12-06,26481.92383
2012-12-07,26563.6875
2012-12-10,26849.73047
2012-12-11,27667.10938
2012-12-12,27953.14844
2012-12-13,28280.11914
2012-12-14,28034.91406
2012-12-17,27994.07617
2012-12-18,28566.1582
2012-12-20,28484.48242
2012-12-21,28361.88086
2012-12-24,27994.07617
2012-12-26,28075.74805
2012-12-27,28575.94727
2012-12-28,28368.54492
2013-01-02,28741.81445
2013-01-03,28949.2207
2013-01-04,29073.64063
2013-01-07,28783.35156
2013-01-08,28410.08008
2013-01-09,27704.97852
2013-01-10,27704.97852
2013-01-11,27580.55273
2013-01-14,27539.11133
2013-01-15,27414.68555
2013-01-16,27622.00195
2013-01-17,27580.55273
2013-01-18,27704.97852
2013-01-21,27704.97852
2013-01-22,27414.68555
2013-01-23,27373.1543
2013-01-24,27165.83984
2013-01-25,26999.88086
2013-01-28,27207.28516
2013-01-29,27456.13086
2013-01-30,27456.13086
2013-01-31,27746.42383
2013-02-01,27497.57617
2013-02-04,27704.97852
2013-02-05,27290.26367
2013-02-06,27082.86133
2013-02-07,26999.88086
2013-02-08,27331.70703
2013-02-12,27248.72852
2013-02-13,27580.55273
2013-02-14,27414.68555
2013-02-15,27829.4043
2013-02-18,27580.55273
2013-02-19,27870.84766
2013-02-20,28078.25391
2013-02-21,27995.27148
2013-02-22,27953.82813
2013-02-25,28451.52539
2013-02-26,28658.92773
2013-02-27,28617.39258
2013-02-28,28949.2207
2013-03-04,28907.77344
2013-03-05,28824.79688
2013-03-06,28783.35156
2013-03-07,28783.35156
2013-03-08,28866.24023
2013-03-11,28866.24023
2013-03-12,28783.35156
2013-03-13,28534.50391
2013-03-14,28658.92773
2013-03-15,28285.65625
2013-03-18,28368.54492
2013-03-19,28327.10156
2013-03-20,28119.69531
2013-03-21,27953.82813
2013-03-22,27829.4043
2013-03-25,27746.42383
2013-03-26,27580.55273
2013-03-27,27870.84766
2013-03-28,27912.38281
2013-03-29,27995.27148
2013-04-01,27912.38281
2013-04-02,28078.25391
2013-04-03,27746.42383
2013-04-04,27539.11133
2013-04-05,27082.86133
2013-04-08,26875.45703
2013-04-09,26668.14648
2013-04-10,27373.1543
2013-04-11,27165.83984
2013-04-12,26999.88086
2013-04-15,26626.60742
2013-04-16,26253.33594
2013-04-17,25548.33203
2013-04-18,25465.35156
2013-04-19,25838.62305
2013-04-22,25755.64453
2013-04-23,25672.75586
2013-04-24,26336.31836
2013-04-25,26419.29688
2013-04-26,26128.91406
2013-04-29,25963.04688
2013-04-30,25880.06836
2013-05-02,25714.19922
2013-05-03,25880.06836
2013-05-06,26170.45117
2013-05-07,26211.89453
2013-05-08,26336.31836
2013-05-09,26792.56836
2013-05-10,26502.18555
2013-05-13,26502.18555
2013-05-14,26834.01367
2013-05-15,26792.56836
2013-05-16,26999.88086
2013-05-20,26999.88086
2013-05-21,26958.43555
2013-05-22,26709.58984
2013-05-23,26377.76172
2013-05-24,26336.31836
2013-05-27,26336.31836
2013-05-28,26294.875
2013-05-29,26336.31836
2013-05-30,26046.02734
2013-05-31,26294.875
2013-06-03,26253.33594
2013-06-04,26128.91406
2013-06-05,25838.62305
2013-06-07,25838.62305
2013-06-10,25838.62305
2013-06-11,25838.62305
2013-06-12,25672.75586
2013-06-13,25299.48438
2013-06-14,25382.36914
2013-06-17,25506.79492
2013-06-18,25755.64453
2013-06-19,25631.2168
2013-06-20,25175.05859
2013-06-21,24718.80859
2013-06-24,24262.55859
2013-06-25,24096.68945
2013-06-26,24138.13281
2013-06-27,24304.08984
2013-06-28,24386.98047
2013-07-01,24511.4043
2013-07-02,24677.36523
2013-07-03,24428.51758
2013-07-04,24552.93945
2013-07-05,24552.93945
2013-07-08,24469.95898
2013-07-09,24594.38672
2013-07-10,24386.98047
2013-07-11,24926.21289
2013-07-12,24635.82617
2013-07-15,24718.80859
2013-07-16,25009.09766
2013-07-17,25340.92773
2013-07-18,25257.94531
2013-07-19,25423.90625
2013-07-22,25631.2168
2013-07-23,25714.19922
2013-07-24,25672.75586
2013-07-25,25548.33203
2013-07-26,25589.77539
2013-07-29,25465.35156
2013-07-30,25631.2168
2013-07-31,25506.79492
2013-08-01,25714.19922
2013-08-02,26128.91406
2013-08-05,26211.89453
2013-08-06,26211.89453
2013-08-07,26046.02734
2013-08-08,26046.02734
2013-08-09,25880.06836
2013-08-12,26046.02734
2013-08-13,26004.49023
2013-08-14,26128.91406
2013-08-16,26419.29688
2013-08-19,26709.58984
2013-08-20,26585.16406
2013-08-21,26377.76172
2013-08-22,26087.46875
2013-08-23,26004.49023
2013-08-26,26087.46875
2013-08-27,26211.89453
2013-08-28,26543.72461
2013-08-29,26916.99219
2013-08-30,27041.41602
2013-09-02,27207.28516
2013-09-03,27248.72852
2013-09-04,27580.55273
2013-09-05,27580.55273
2013-09-06,27953.82813
2013-09-09,27995.27148
2013-09-10,28327.10156
2013-09-11,28741.81445
2013-09-12,28907.77344
2013-09-13,28949.2207
2013-09-16,29571.33789
2013-09-17,29529.89453
2013-09-23,29903.16406
2013-09-24,29944.60938
2013-09-25,30359.32227
2013-09-26,30815.57617
2013-09-27,30857.01953
2013-09-30,31437.69531
2013-10-01,31022.97852
2013-10-02,30276.4375
2013-10-04,30193.45703
2013-10-07,30110.47656
2013-10-08,30152.01563
2013-10-10,30815.57617
2013-10-11,32101.25977
2013-10-14,32806.35547
2013-10-15,32516.06836
2013-10-16,33262.60547
2013-10-17,34133.57813
2013-10-18,34133.57813
2013-10-21,34009.15234
2013-10-22,34299.44531
2013-10-23,34175.01953
2013-10-24,34506.85547
2013-10-25,34092.04297
2013-10-28,33469.92188
2013-10-29,33843.19141
2013-10-30,34714.15625
2013-10-31,33304.05469
2013-11-01,33635.87891
2013-11-04,33262.60547
2013-11-05,32806.35547
2013-11-06,32972.22266
2013-11-07,32806.35547
2013-11-08,33013.75391
2013-11-11,32557.51172
2013-11-12,33221.07422
2013-11-13,32972.22266
2013-11-14,32350.10352
2013-11-15,32681.93945
2013-11-18,33013.75391
2013-11-19,33387.03516
2013-11-20,33096.65234
2013-11-21,32474.53125
2013-11-22,33013.75391
2013-11-25,33096.65234
2013-11-26,32889.33984
2013-11-27,33179.62891
2013-11-28,33013.75391
2013-11-29,32889.33984
2013-12-02,31562.11719
2013-12-03,30815.57617
2013-12-04,31147.4043
2013-12-05,30359.32227
2013-12-06,30359.32227
2013-12-09,30359.32227
2013-12-10,30691.1543
2013-12-11,31064.42383
2013-12-12,30483.74805
2013-12-13,31354.71484
2013-12-16,30400.86133
2013-12-17,30857.01953
2013-12-18,31105.86914
2013-12-19,31105.86914
2013-12-20,31313.27344
2013-12-23,32184.24023
2013-12-24,32723.37891
2013-12-26,32516.06836
2013-12-27,33142.92578
2013-12-30,32891.20703
2014-01-02,32219.89453
2014-01-03,31968.17188
2014-01-06,31590.59961
2014-01-07,31548.67188
2014-01-08,31590.59961
2014-01-09,32010.19141
2014-01-10,31422.81641
2014-01-13,31464.73828
2014-01-14,31171.09766
2014-01-15,31506.75391
2014-01-16,31632.60938
2014-01-17,31506.75391
2014-01-20,31129.17773
2014-01-21,31003.31445
2014-01-22,30583.7207
2014-01-23,30583.7207
2014-01-24,30961.30273
2014-01-27,30457.86328
2014-01-28,30206.14258
2014-01-29,30290.08203
2014-02-03,29618.86133
2014-02-04,28444.11328
2014-02-05,28779.77148
2014-02-06,29409.06445
2014-02-07,29870.58203
2014-02-10,29576.84766
2014-02-11,29534.92578
2014-02-12,30122.30078
2014-02-13,29786.64258
2014-02-14,29450.98828
2014-02-17,29576.84766
2014-02-18,29744.72266
2014-02-19,29199.27148
2014-02-20,28444.11328
2014-02-21,29325.13086
2014-02-24,29325.13086
2014-02-25,29660.78516
2014-02-26,29996.44141
2014-02-27,29996.44141
2014-02-28,30206.14258
2014-03-03,30038.36328
2014-03-04,29493.00391
2014-03-05,29534.92578
2014-03-06,29031.49023
