Date,High,Low,Open,Volume,Close
2010-10-11,42943.89844,41065.10156,42899.19922,691336,36773.57031
2010-10-12,41154.60156,40125.69922,41154.60156,938441,35702.49609
2010-10-13,40528.30078,39454.69922,40349.39844,870727,35623.22656
2010-10-14,40841.39844,40170.5,40483.60156,786596,35742.22266
2010-10-15,41244.10156,40528.30078,40662.5,458212,36218.17578
2010-10-18,41333.5,40081,40841.39844,554901,35543.85156
2010-10-19,40259.89844,38783.69922,40259.89844,1097709,34433.13281
2010-10-20,38962.69922,38202.19922,38291.69922,591288,34433.13281
2010-10-21,39096.89844,38336.39844,38694.30078,597958,34115.74609
2010-10-22,39410,38023.30078,38470.60156,647745,34869.43359
2010-10-25,39544.19922,38917.89844,39499.5,472763,34750.42969
2010-10-26,40036.19922,39231.10156,39499.5,640217,35345.47266
2010-10-27,40707.19922,39588.89844,39902.10156,1177751,35305.83594
2010-10-28,39633.69922,38873.19922,39633.69922,532009,34552.13672
2010-10-29,39186.30078,37665.39844,39186.30078,740288,33679.35156
2010-11-01,38739,37531.19922,37933.80078,370720,34274.39453
2010-11-02,39723.10156,39007.39844,39275.80078,625993,34710.78906
2010-11-03,40886.19922,39231.10156,39454.69922,1164607,35940.51953
2010-11-04,40528.30078,39096.89844,40528.30078,722620,35067.81641
2010-11-05,40125.69922,38873.19922,40125.69922,595553,34869.43359
2010-11-08,39410,38739,39365.30078,320831,34671.15234
2010-11-09,39812.60156,38917.89844,39052.10156,359955,34948.80859
2010-11-10,39902.10156,39096.89844,39410,523840,35266.19141
2010-11-11,40304.69922,38828.5,39812.60156,757516,34433.13281
2010-11-12,39767.89844,38425.89844,39320.5,926031,34274.39453
2010-11-15,38739,38112.69922,38381.10156,482220,33917.36328
2010-11-16,38783.69922,38068,38381.10156,330874,34234.75391
2010-11-17,39007.39844,37978.5,38023.30078,393065,34353.76172
2010-11-18,39007.39844,38515.30078,38739,551029,34274.39453
2010-11-19,40349.39844,38739,38873.19922,1598750,35464.48047
2010-11-22,41691.39844,40483.60156,40528.30078,1459456,36456.27734
2010-11-23,41244.10156,40349.39844,41199.30078,738302,36218.17578
2010-11-24,40349.39844,39633.69922,39812.60156,952715,35305.83594
2010-11-25,40796.69922,39633.69922,40081,802635,35186.82422
2010-11-26,40215.19922,38470.60156,39767.89844,635180,34115.74609
2010-11-29,39096.89844,38515.30078,38649.5,272438,34433.13281
2010-11-30,39812.60156,38828.5,38962.69922,545519,35186.82422
2010-12-01,40617.80078,39812.60156,39857.30078,605893,35940.51953
2010-12-02,40886.19922,39946.80078,40752,629518,35940.51953
2010-12-03,41065.10156,40349.39844,40707.19922,463149,35781.86328
2010-12-06,42496.60156,40975.60156,41020.39844,1281320,37606.63672
2010-12-07,42854.39844,41691.39844,42272.89844,790555,37090.96484
2010-12-08,42496.60156,41378.19922,41825.60156,595825,36733.94141
2010-12-09,42630.80078,41288.80078,41601.89844,764870,37725.64063
2010-12-10,43972.80078,42720.19922,42765,1085466,38281.05078
2010-12-13,43704.39844,42541.30078,42988.60156,515172,38003.29688
2010-12-14,43346.5,42586,42988.60156,459186,38043.03125
2010-12-15,43614.89844,41601.89844,43033.39844,1409861,37130.60547
2010-12-16,42138.69922,41244.10156,41557.19922,720349,37011.59375
2010-12-17,42496.60156,41512.39844,41959.80078,620163,37011.59375
2010-12-20,41244.10156,39767.89844,40707.19922,600238,36376.90625
2010-12-21,42183.39844,41512.39844,41512.39844,512710,37328.97656
2010-12-22,42362.39844,41780.80078,42317.60156,298739,37209.96875
2010-12-23,41959.80078,41065.10156,41870.30078,371453,36535.55859
2010-12-24,41512.39844,40886.19922,41020.39844,305051,36456.27734
2010-12-27,41646.60156,40841.39844,40886.19922,310856,36218.17578
2010-12-28,41467.69922,40707.19922,40886.19922,461546,36495.92188
2010-12-29,41557.19922,40886.19922,41244.10156,347977,37317.64453
2010-12-30,41825.60156,41288.80078,41691.39844,281454,37599.40234
2011-01-03,42675.5,42094,42362.39844,562655,38364.33594
2011-01-04,42675.5,42138.69922,42675.5,417924,38203.24609
2011-01-05,43346.5,42183.39844,42407.10156,667813,38243.5625
2011-01-06,44420.10156,42630.80078,42854.39844,1471891,39974.56641
2011-01-07,46612,44733.19922,44912.19922,2240736,41625.10938
2011-01-10,47417.19922,45806.80078,46612,1158904,41383.57031
2011-01-11,48222.39844,46254.19922,46343.60156,1260444,43154.78906
2011-01-12,48580.30078,47596.19922,48311.89844,739751,43235.33203
2011-01-13,48848.69922,47506.69922,47864.60156,822602,43074.33984
2011-01-14,47685.60156,46343.60156,47596.19922,891232,42671.71094
2011-01-17,48759.19922,46791,47596.19922,617702,42108.1875
2011-01-18,48222.39844,46254.19922,46612,767057,42591.26172
2011-01-19,48759.19922,46701.5,47596.19922,757474,42993.79688
2011-01-20,49832.80078,48133,48133,1009875,43476.87109
2011-01-21,48848.69922,47238.30078,48133,774076,42993.79688
